Zip Code,Sub-Market Region,State,Master County
99501,ALAS.ANCHORAGE,AK,Anchorage Municipality
99502,ALAS.ANCHORAGE,AK,Anchorage Municipality
99503,ALAS.ANCHORAGE,AK,Anchorage Municipality
99504,ALAS.ANCHORAGE,AK,Anchorage Municipality
99505,ALAS.ANCHORAGE,AK,Anchorage Municipality
99506,ALAS.ANCHORAGE,AK,Anchorage Municipality
99507,ALAS.ANCHORAGE,AK,Anchorage Municipality
99508,ALAS.ANCHORAGE,AK,Anchorage Municipality
99509,ALAS.ANCHORAGE,AK,Anchorage Municipality
99510,ALAS.ANCHORAGE,AK,Anchorage Municipality
99511,ALAS.ANCHORAGE,AK,Anchorage Municipality
99513,ALAS.ANCHORAGE,AK,Anchorage Municipality
99514,ALAS.ANCHORAGE,AK,Anchorage Municipality
99515,ALAS.ANCHORAGE,AK,Anchorage Municipality
99516,ALAS.ANCHORAGE,AK,Anchorage Municipality
99517,ALAS.ANCHORAGE,AK,Anchorage Municipality
99518,ALAS.ANCHORAGE,AK,Anchorage Municipality
99519,ALAS.ANCHORAGE,AK,Anchorage Municipality
99520,ALAS.ANCHORAGE,AK,Anchorage Municipality
99521,ALAS.ANCHORAGE,AK,Anchorage Municipality
99522,ALAS.ANCHORAGE,AK,Anchorage Municipality
99523,ALAS.ANCHORAGE,AK,Anchorage Municipality
99524,ALAS.ANCHORAGE,AK,Anchorage Municipality
99540,ALAS.ANCHORAGE,AK,Anchorage Municipality
99545,ALAS.ANCHORAGE,AK,Bethel Census Area
99546,ALAS.ANCHORAGE,AK,Aleutians West Census Area
99547,ALAS.ANCHORAGE,AK,Aleutians West Census Area
99549,ALAS.ANCHORAGE,AK,Lake and Peninsula Borough
99550,ALAS.ANCHORAGE,AK,Kodiak Island Borough
99551,ALAS.ANCHORAGE,AK,Bethel Census Area
99552,ALAS.ANCHORAGE,AK,Bethel Census Area
99553,ALAS.ANCHORAGE,AK,Aleutians East Borough
99554,ALAS.FAIRBANKS,AK,Wade Hampton Census Area
99555,ALAS.ANCHORAGE,AK,Dillingham Census Area
99556,ALAS.ANCHORAGE,AK,Kenai Peninsula Borough
