Distance,Title,Street Address,City,Postal Code,Address State
3793.12,Mavis Discount Tire #545,2401-03 Kennedy Blvd,North Bergen,07047,NJ
4796.31,Bj's Whsle Club #44,396-420 Marin Blvd,Jersey City,07302,NJ
5027.55,Pep Boys,3825 21st St,Long Island City,11101,NY
5164.49,Mcguire Buick Gmc               : 111224,7027 Kennedy Blvd,North Bergen,07047,NJ
5293.43,Costco Wholesale Corporation 243,32-50 Vernon Blvd,Long Island City,11106,NY
5657.25,Sam's Club Members Only #4774,300 Park Pl,Secaucus,07094,NJ
5706.77,Tire Town Of Queens Llc,32-46 Gale Ave,Long Island City,11101,NY
5775.12,Pep Boys,2958 Kennedy Blvd,Jersey City,07306,NJ
5802.31,United Ford,330 County Ave,Secaucus,07094,NJ
6098.24,Eudm Autosports,36-03 Greenpoint Ave,Long Island City,11101,NY
6530.23,Tm & T Tire Inc,41-15 Northern Blvd,Long Island City,11101,NY
6639.92,Major World,39-10 43rd St,Long Island City,11104,NY
6826.72,Bj's Whsle Club #190,2100 88th St,North Bergen,07047,NJ
7088.93,Pep Boys,4802 Queens Blvd,Woodside,11377,NY
7142.92,"The Pep Boys-manny, Moe & Jack",41-15 19th Street,Astoria,11105,NY
7397.45,Major World Chrysler Dodge Jeep 26915,50-30 Nern Blvd,Long Island City,11101,NY
7882.25,Robbins & Franke,611 Palisade Ave,Cliffside Park,07010,NJ
8048.59,Koeppel Ford,57-01 Northern Blvd,Woodside,11377,NY
8617.30,Steven's Jersey City Ford,740 Route 440,Jersey City,07304,NJ
8846.42,Mavis Discount Tire #541,725 Route 440/ Hudson Mall,Jersey City,07304,NJ
8909.37,Pep Boys,701 State Rt 440 S,Jersey City,07304,NJ
8913.18,Tri Auto & Body Inc,69-11 48th Ave,Woodside,11377,NY
8941.04,Pep Boys,354-4th Ave,Brooklyn,11215,NY
8997.73,Hudson Chrysler Jeep Dodge Ram 60441,625 Route 440,Jersey City,07304,NJ
9235.48,Midas,60-34 Eliot Ave,Maspeth,11378,NY
9337.46,Pep Boys,61-01 Metropolitan Ave,Ridgewood,11385,NY
9850.34,Rs Tires Group,7962 Albion Ave,Elmhurst,11373,NY
10016.74,Mavis Discount Tire #509,67 Route 46 E,Ridgefield Park,07660,NJ
10169.16,Brogan Cad-olds Corp            : 903954,112 Rte 46 E,Totowa,07512,NJ
10259.69,Bj's Whsle Club #143,66-26 Metropolitan Ave,Middle Village,11379,NY
10936.55,Tire Factory,954 3rd Ave,Brooklyn,11232,NY
11251.28,Etd Discount Tire Centers Inc,757 Page Ave,Lyndhurst,07071,NJ
11288.06,Frank's Gmc,325 Orient Way,Lyndhurst,07071,NJ
11294.92,Quality Auto Mall                  06995,55 Stat Hwy 17,Rutherford,07070,NJ
11357.92,Bj's Whsle Club #8,300 Route 17 (northside),East Rutherford,07073,NJ
11457.74,Bellavia Chevrolet Buick        : 502153,Rte 17 & Union Ave,East Rutherford,07073,NJ
11756.84,"Service Tire Truck Center, Inc.",630 Hunts Point Ave,Bronx,10474,NY
11788.90,"Tire Town, Inc.",110-01 Northern Blvd,Corona,11368,NY
11909.54,Elsy Tire & Auto,429 Raymond Blvd,Newark,07105,NJ
12056.54,Mavis Discount Tire #134,611 Utica Ave,Brooklyn,11203,NY
12257.35,Teterboro Chrysler Dodge Jeep Ram 62012,469 Route 46,Little Ferry,07643,NJ
12515.82,Pep Boys,5 Sr-17,Hasbrouck Heights,07604,NJ
12659.26,Mavis Discount Tire #224,2419 Lemoine Ave,Fort Lee,07024,NJ
13275.20,Mavis Discount Tire #535,540 Paterson Ave,East Rutherford,07073,NJ
13420.55,Whitey's Tire,307 Crescent St,Brooklyn,11208,NY
13651.45,Hudson Tire Exchange Inc,212 Hudson St,Hackensack,07601,NJ
13855.09,Northern Tire & Auto Repair,13239 34th Ave,Flushing,11354,NY
13873.55,Tires 13 Inc,1291 Utica Ave,Brooklyn,11203,NY
14000.92,Avis Newark                     : 590316,86 Olympia Dr,Newark,07114,NJ
14067.42,Matrix Auto Inc,3311 Prince St,Flushing,11354,NY
14144.61,Mavis Discount Tire #433,832 Pennsylvania Ave & Stanley St,Brooklyn,11207,NY
14160.21,Ford Of Englewood Inc              03698,40 Van Nostrand Ave,Englewood,07631,NJ
14346.26,Pep Boys,65 Court St,Hackensack,07601,NJ
14360.57,Etd Discount Tire Centers Inc,375 S Dean St,Englewood,07631,NJ
14470.80,Premier Ford,5001 Glenwood Rd,Brooklyn,11234,NY
14533.41,Costco Wholesale Corporation 306,20 Bridewell Pl,Clifton,07014,NJ
15062.63,"The Pep Boys-manny, Moe & Jack",153 Us 46 West,Lodi,07644,NJ
15091.50,Mavis Discount Tire #537,144 Route 46 E,Lodi,07644,NJ
15130.48,Premier Ford Of Bay Ridge,612 86th St,Brooklyn,11228,NY
15139.82,Midas,589-91 E Fordham Rd,Bronx,10458,NY
15263.35,Otto Motor Works Inc,1832 Utica Ave,Brooklyn,11234,NY
15625.37,Evolussion Tire Co,209 Vanderpool St,Newark,07114,NJ
15820.84,The Pep Boys,2015 Utica Ave,Brooklyn,11234,NY
15896.54,Irving Tire,1800 Coney Island Ave,Brooklyn,11230,NY
16046.01,All American Ford Inc              02724,520 River St,Hackensack,07601,NJ
16089.91,Mavis Tire Supply #786,80 Hancock St,Lodi,07644,NJ
